City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,279.02,88,100,6.48,TF,1712890947
1,fale old settlement,-9.3852,-171.2468,303.29,70,56,3.64,TK,1712890948
2,kasongo-lunda,-6.4667,16.8167,295.35,98,100,0.26,CD,1712890938
3,ta`u,-14.2336,-169.5144,302.24,76,51,4.86,AS,1712890948
4,adamstown,-25.066,-130.1015,294.98,55,29,6.78,PN,1712890948
5,talnakh,69.4865,88.3972,248.82,97,94,4.62,RU,1712890808
6,stanley,54.868,-1.6985,284.66,86,75,5.66,GB,1712890941
7,luganville,-15.5333,167.1667,302.85,72,31,3.78,VU,1712890696
8,punta arenas,-53.15,-70.9167,281.21,76,40,10.29,CL,1712890874
9,klaksvik,62.2266,-6.589,281.66,90,65,12.22,FO,1712890948
10,enewetak,11.3474,162.3373,299.99,80,80,8.92,MH,1712890657
11,iqaluit,63.7506,-68.5145,267.0,85,75,5.66,CA,1712890876
12,grytviken,-54.2811,-36.5092,271.52,68,7,4.46,GS,1712890949
13,terenos,-20.4422,-54.8603,296.99,100,40,2.57,BR,1712890949
14,bilibino,68.0546,166.4372,265.91,72,85,1.94,RU,1712890949
15,raton,36.9034,-104.4391,283.34,36,92,0.67,US,1712890800
16,mount gambier,-37.8333,140.7667,288.79,50,100,2.93,AU,1712890949
17,vallenar,-28.5708,-70.7581,291.26,66,100,0.82,CL,1712890804
18,albany,42.6001,-73.9662,289.0,81,100,4.02,US,1712890802
19,isafjordur,66.0755,-23.124,269.34,93,100,12.66,IS,1712890949
20,puerto ayora,-0.7393,-90.3518,299.01,96,77,1.34,EC,1712890723
21,hengchun,22.0042,120.7439,300.12,76,22,2.87,TW,1712890934
22,reggane,26.7158,0.1714,294.57,25,0,4.1,DZ,1712890842
23,new norfolk,-42.7826,147.0587,291.87,83,100,1.24,AU,1712890950
24,olonkinbyen,70.9221,-8.7187,265.82,89,100,8.0,SJ,1712890950
25,coahuayana de hidalgo,18.7,-103.6583,294.1,89,9,1.0,MX,1712890787
26,brookings,44.3114,-96.7984,279.31,80,20,5.66,US,1712890950
27,happy valley-goose bay,53.3168,-60.3315,281.32,46,75,7.72,CA,1712890950
28,truth or consequences,33.1284,-107.2528,293.28,11,0,4.12,US,1712890860
29,ushuaia,-54.8,-68.3,280.96,66,0,6.69,AR,1712890664
30,atafu village,-8.5421,-172.5159,302.99,73,96,3.77,TK,1712890696
31,bethel,41.3712,-73.414,289.94,89,100,2.24,US,1712890922
32,puerto natales,-51.7236,-72.4875,275.72,91,18,2.43,CL,1712890693
33,baiyin,36.5583,104.2081,288.79,28,89,0.88,CN,1712890951
34,chistyye bory,58.3647,41.6278,279.56,67,99,5.44,RU,1712890951
35,hermanus,-34.4187,19.2345,285.82,78,68,6.12,ZA,1712890690
36,waitangi,-43.9535,-176.5597,290.83,92,97,5.36,NZ,1712890951
37,west island,-12.1568,96.8225,302.14,74,100,3.6,CC,1712890951
38,margaret river,-33.95,115.0667,295.42,46,37,3.45,AU,1712890951
39,petropavlovsk-kamchatsky,53.0452,158.6483,280.48,27,0,3.0,RU,1712890951
40,fauske,67.2588,15.3918,277.17,91,100,3.1,NO,1712890951
41,deqen,29.9618,90.7188,276.32,35,78,1.25,CN,1712890951
42,mana,5.6592,-53.7767,298.59,91,96,3.86,GF,1712890952
43,brisas de zicatela,15.8369,-97.0419,300.04,81,55,3.1,MX,1712890691
44,coari,-4.085,-63.1414,297.69,97,100,0.62,BR,1712890823
45,queenstown,-31.8976,26.8753,276.42,88,0,0.83,ZA,1712890745
46,invercargill,-46.4,168.35,283.16,81,96,2.68,NZ,1712890693
47,fort wellington,6.4,-57.6,300.29,79,21,4.3,GY,1712890952
48,csongrad,46.7133,20.1424,284.9,84,32,1.56,HU,1712890952
49,blackmans bay,-43.0167,147.3167,291.22,76,93,3.32,AU,1712890952
50,lethbridge,49.7,-112.8186,287.42,26,75,3.6,CA,1712890953
51,yuzhno-kurilsk,44.0306,145.8556,277.8,76,100,4.76,RU,1712890953
52,lambarene,-0.7001,10.2406,297.79,96,99,0.3,GA,1712890953
53,ephrata,40.1798,-76.1788,292.01,84,100,8.23,US,1712890953
54,cockburn town,21.4612,-71.1419,298.46,82,9,9.83,TC,1712890737
55,yasnyy,51.0333,59.8742,279.82,75,98,6.23,RU,1712890953
56,tiksi,71.6872,128.8694,251.37,83,12,8.33,RU,1712890698
57,edinburgh of the seven seas,-37.0676,-12.3116,291.92,92,25,8.01,SH,1712890953
58,port mathurin,-19.6833,63.4167,299.98,75,31,4.94,MU,1712890954
59,thompson,55.7435,-97.8558,273.24,86,100,2.06,CA,1712890817
60,jamestown,42.097,-79.2353,288.72,100,100,3.6,US,1712890954
61,longyearbyen,78.2186,15.6401,256.06,71,40,1.54,SJ,1712890796
62,dudinka,69.4058,86.1778,249.08,97,46,4.92,RU,1712890954
